,reg,elev,mh,CO,open,needle,grass,erica,junip,tree,rhodo,rock,soil_mean,n_mean,elevation_dGPS,corr_distance,corr_distance_infertile,season,germinated_total_2016,germinated_total_15_16,germinated_total_0_2016,germinated_total_0_15_16,pH,T_mean,T_max,T_min,T_sd,snow_cover,growing_days,habitat,Latitude,Longitude,readnumbers
D2150B1_1,D,2150,B,0,5,50,0,0,0,15,0,30,25.34,0.036,2160.450684,0.5,0.5,May,0,0,5,5,3.9,3.063232422,38.5,-5,6.588229553,179,111,ecotone,46.73378913,9.851851198,8465
D2150B1_2,D,2150,B,0,5,50,0,0,0,15,0,30,25.34,0.036,2160.450684,0.5,0.5,September,0,0,5,5,4.12,3.063232422,38.5,-5,6.588229553,179,111,ecotone,46.73384359,9.851817867,10059
D2150B2_1,D,2150,B,99.84,10,0,0,80,10,0,0,0,12.44,0.022,2163.343262,0.5,7,May,0,0,5,5,4.12,5.649169922,62,-6,11.33816867,190.3333333,108.8333333,ecotone,46.73376442,9.851743446,16630
D2150B2_2,D,2150,B,99.84,10,0,0,80,10,0,0,0,12.44,0.022,2163.343262,0.5,7,September,0,0,5,5,4.31,5.649169922,62,-6,11.33816867,190.3333333,108.8333333,ecotone,46.73378351,9.851833621,11144
D2150B3_1,D,2150,B,99.84,10,0,0,85,0,5,0,0,16.1,0.014,2162.807373,0.5,0.5,May,0,0,5,5,4.23,4.520996094,48,-6,8.218442246,188.3333333,115,ecotone,46.73375396,9.85181554,8653
D2150B3_2,D,2150,B,99.84,10,0,0,85,0,5,0,0,16.1,0.014,2162.807373,0.5,0.5,September,0,0,5,5,4.51,4.520996094,48,-6,8.218442246,188.3333333,115,ecotone,46.73373104,9.851821228,10964
D2150B4_1,D,2150,B,99.84,20,5,5,60,0,5,0,10,19.36,0.026,2161.783447,0.5,0.5,May,0,0,5,5,3.42,NA,NA,NA,NA,NA,NA,ecotone,46.73370776,9.851889027,10113
D2150B4_2,D,2150,B,99.84,20,5,5,60,0,5,0,10,19.36,0.026,2161.783447,0.5,0.5,September,0,1,5,4,4.24,NA,NA,NA,NA,NA,NA,ecotone,46.7338347,9.851800974,17954
D2150V1_1,D,2150,V,99.84,5,0,0,90,5,0,0,0,25.56,0.03,2163.023438,0.5,6,May,0,0,5,5,3.95,5.251708984,66,-7,11.16203861,204.6666667,104.8333333,ecotone,46.73443336,9.853180913,9735
D2150V1_2,D,2150,V,99.84,5,0,0,90,5,0,0,0,25.56,0.03,2163.023438,0.5,6,September,0,1,5,4,4.28,5.251708984,66,-7,11.16203861,204.6666667,104.8333333,ecotone,46.73451614,9.853139502,9758
D2150V2_1,D,2150,V,99.84,25,0,0,65,0,0,0,10,17.04,0.018,2164.573242,2,8,May,0,0,5,5,3.98,4.838867188,58,-6,9.200471149,206.8333333,104.3333333,ecotone,46.7345626,9.853059071,14018
D2150V2_2,D,2150,V,99.84,25,0,0,65,0,0,0,10,17.04,0.018,2164.573242,2,8,September,2,2,3,3,4.11,4.838867188,58,-6,9.200471149,206.8333333,104.3333333,ecotone,46.73455063,9.853029857,7317
D2150V3_1,D,2150,V,99.84,30,0,0,50,0,0,0,20,33.82,0.02,2162.686523,3,3,May,0,0,5,5,4.1,5.08984375,53,-4.5,9.223357934,197.5,110.5,ecotone,46.7345172,9.853127707,8633
D2150V3_2,D,2150,V,99.84,30,0,0,50,0,0,0,20,33.82,0.02,2162.686523,3,3,September,0,0,5,5,4.05,5.08984375,53,-4.5,9.223357934,197.5,110.5,ecotone,46.73451195,9.853044151,13805
D2150V4_1,D,2150,V,99.84,50,0,0,45,0,0,0,5,22.34,0.01,2162.506348,0.5,0.5,May,0,0,5,5,4.35,NA,NA,NA,NA,NA,NA,ecotone,46.73451157,9.853039012,9007
D2150V4_2,D,2150,V,99.84,50,0,0,45,0,0,0,5,22.34,0.01,2162.506348,0.5,0.5,September,0,1,5,4,4.41,NA,NA,NA,NA,NA,NA,ecotone,46.7343918,9.853062385,14234
D2200B1_1,D,2200,B,99.84,0,0,25,25,25,25,0,0,20.18,0.02,2187.781006,0.5,120,May,0,0,5,5,3.81,3.622802734,42,-5.5,6.711602693,201,105.1666667,ecotone,46.73470391,9.853751891,8204
D2200B1_2,D,2200,B,99.84,0,0,25,25,25,25,0,0,20.18,0.02,2187.781006,0.5,120,September,2,2,3,3,4.33,3.622802734,42,-5.5,6.711602693,201,105.1666667,ecotone,46.7346781,9.853813147,8729
D2200B2_1,D,2200,B,99.84,20,0,20,50,5,5,0,0,19.12,0.01,2187.768311,0.5,120,May,0,0,5,5,3.98,5.434814453,70.5,-6.5,10.87117682,194.5,107.8333333,ecotone,46.7347,9.85393,11854
D2200B2_2,D,2200,B,99.84,20,0,20,50,5,5,0,0,19.12,0.01,2187.768311,0.5,120,September,0,0,4,5,4.51,5.434814453,70.5,-6.5,10.87117682,194.5,107.8333333,ecotone,46.73469105,9.853855715,4714
D2200B3_1,D,2200,B,99.84,0,0,0,40,40,15,0,5,21.06,0.008,2186.840088,0.5,120,May,0,0,5,5,3.92,4.704345703,63,-7,9.136048499,201.5,102.6666667,ecotone,46.73468818,9.853815454,12529
D2200B3_2,D,2200,B,99.84,0,0,0,40,40,15,0,5,21.06,0.008,2186.840088,0.5,120,September,1,1,4,4,4.51,4.704345703,63,-7,9.136048499,201.5,102.6666667,ecotone,46.73471,9.85388,8559
D2200B4_1,D,2200,B,99.84,0,0,0,30,0,30,25,15,12.14,0.004,2185.488525,0.5,120,May,0,0,5,5,4.18,NA,NA,NA,NA,NA,NA,ecotone,46.73474474,9.853884301,4989
D2200B4_2,D,2200,B,99.84,0,0,0,30,0,30,25,15,12.14,0.004,2185.488525,0.5,120,September,0,0,3,5,4.6,NA,NA,NA,NA,NA,NA,ecotone,46.73472892,9.853843859,16307
D2200V1_1,D,2200,V,99.84,5,0,0,70,25,0,0,0,12.54,0.014,2188.064209,2,120,May,0,0,5,5,4.28,6.223388672,69.5,-6.5,13.40692917,197.8333333,109,ecotone,46.73516724,9.854532574,7210
D2200V1_2,D,2200,V,99.84,5,0,0,70,25,0,0,0,12.54,0.014,2188.064209,2,120,September,0,0,5,5,4.37,6.223388672,69.5,-6.5,13.40692917,197.8333333,109,ecotone,46.73519825,9.854640103,6585
D2200V2_1,D,2200,V,99.84,10,0,0,65,25,0,0,0,38.148,0.042,2187.678467,1,120,May,0,0,5,5,3.87,5.353027344,58.5,-3,9.771641802,182.8333333,110.1666667,ecotone,46.73499775,9.854532049,15105
D2200V2_2,D,2200,V,99.84,10,0,0,65,25,0,0,0,38.148,0.042,2187.678467,1,120,September,1,1,4,4,4.11,5.353027344,58.5,-3,9.771641802,182.8333333,110.1666667,ecotone,46.73522226,9.854487659,8608
D2200V3_1,D,2200,V,99.84,15,0,0,60,25,0,0,0,8.12,0.004,2186.460449,1,120,May,0,0,5,5,4.13,5.097900391,64.5,-5.5,9.782368539,197.8333333,108.6666667,ecotone,46.73519617,9.85456829,28163
D2200V3_2,D,2200,V,99.84,15,0,0,60,25,0,0,0,8.12,0.004,2186.460449,1,120,September,0,0,5,5,4.3,5.097900391,64.5,-5.5,9.782368539,197.8333333,108.6666667,ecotone,46.73518448,9.854473904,12286
D2200V4_1,D,2200,V,99.84,0,0,30,40,30,0,0,0,40.94,0.064,2188.623535,7,120,May,0,0,5,5,3.97,NA,NA,NA,NA,NA,NA,ecotone,46.73525572,9.854650956,9742
D2200V4_2,D,2200,V,99.84,0,0,30,40,30,0,0,0,40.94,0.064,2188.623535,7,120,September,1,1,3,4,4.11,NA,NA,NA,NA,NA,NA,ecotone,46.7352075,9.854483991,7086
D2250B1_1,D,2250,B,99.84,10,0,90,0,0,0,0,0,29.9,0.05,2253.12085,340,340,May,0,0,5,5,4.21,4.756103516,47,-3.5,9.148464002,190,106.1666667,ecotone,46.73537993,9.855842302,6460
D2250B1_2,D,2250,B,99.84,10,0,90,0,0,0,0,0,29.9,0.05,2253.12085,340,340,September,0,0,5,5,4.61,4.756103516,47,-3.5,9.148464002,190,106.1666667,ecotone,46.73537656,9.855780101,5673
D2250B2_1,D,2250,B,99.84,10,0,80,10,0,0,0,0,29.54,0.044,2252.942139,340,340,May,0,0,5,5,4.17,5.062744141,61,-5.5,10.66298098,196.1666667,105,ecotone,46.73538663,9.855843255,10790
D2250B2_2,D,2250,B,99.84,10,0,80,10,0,0,0,0,29.54,0.044,2252.942139,340,340,September,1,1,3,4,4.36,5.062744141,61,-5.5,10.66298098,196.1666667,105,ecotone,46.73546621,9.855842856,8585
D2250B3_1,D,2250,B,99.84,10,90,0,0,0,0,0,0,39.64,0.072,2253.77832,340,340,May,0,0,5,5,4.88,3.989257813,39.5,-1.5,6.858210989,186.5,106.6666667,ecotone,46.73538592,9.855830996,14648
D2250B3_2,D,2250,B,99.84,10,90,0,0,0,0,0,0,39.64,0.072,2253.77832,340,340,September,0,0,5,5,5.1,3.989257813,39.5,-1.5,6.858210989,186.5,106.6666667,ecotone,46.73540446,9.855784998,9840
D2250B4_1,D,2250,B,99.84,0,0,100,0,0,0,0,0,38.04,0.056,2253.352539,340,340,May,0,0,5,5,4.01,NA,NA,NA,NA,NA,NA,ecotone,46.73542382,9.855772182,18436
D2250B4_2,D,2250,B,99.84,0,0,100,0,0,0,0,0,38.04,0.056,2253.352539,340,340,September,0,0,5,5,4.45,NA,NA,NA,NA,NA,NA,ecotone,46.73545243,9.855815464,10870
D2250V1_1,D,2250,V,99.84,5,0,85,10,0,0,0,0,28.42,0.012,2253.277588,340,340,May,0,0,5,5,4.44,4.333496094,46,-2.5,8.198747094,189.6666667,105.6666667,ecotone,46.73635578,9.857327066,19731
D2250V1_2,D,2250,V,99.84,5,0,85,10,0,0,0,0,28.42,0.012,2253.277588,340,340,September,0,3,5,2,4.64,4.333496094,46,-2.5,8.198747094,189.6666667,105.6666667,ecotone,46.73650729,9.857106555,5784
D2250V2_1,D,2250,V,99.84,50,0,40,10,0,0,0,0,22.26,0.038,2253.07959,340,340,May,0,0,5,5,4.25,4.323974609,44,-8.5,9.201412692,193,109,ecotone,46.7346349,9.853825639,11613
D2250V2_2,D,2250,V,99.84,50,0,40,10,0,0,0,0,22.26,0.038,2253.07959,340,340,September,0,0,5,5,3.99,4.323974609,44,-8.5,9.201412692,193,109,ecotone,46.73640336,9.857047737,6910
D2250V3_1,D,2250,V,99.84,0,0,25,75,0,0,0,0,22.32,0.044,2252.975342,340,340,May,0,0,5,5,4.5,5.186767578,51.5,-3.5,9.718140899,192.1666667,106.8333333,ecotone,46.73637786,9.857283009,4034
D2250V3_2,D,2250,V,99.84,0,0,25,75,0,0,0,0,22.32,0.044,2252.975342,340,340,September,0,0,4,5,4.48,5.186767578,51.5,-3.5,9.718140899,192.1666667,106.8333333,ecotone,46.73650517,9.857077012,10680
D2250V4_1,D,2250,V,99.84,20,0,20,60,0,0,0,0,21.88,0.028,2252.381104,340,340,May,0,0,5,5,4,NA,NA,NA,NA,NA,NA,ecotone,46.73645606,9.857104401,12096
D2250V4_2,D,2250,V,99.84,20,0,20,60,0,0,0,0,21.88,0.028,2252.381104,340,340,September,0,1,5,4,4.63,NA,NA,NA,NA,NA,NA,ecotone,46.73643316,9.857043424,10060
S1850B1_1,S,1850,B,15.6,70,0,0,0,0,5,25,0,22.142,0.032,1868.932617,0.5,0.5,May,0,0,5,5,3.55,3.570068359,22,-3,5.20822858,169.1666667,120.3333333,mixed,46.80024,9.90116,9062
S1850B1_2,S,1850,B,15.6,70,0,0,0,0,5,25,0,22.142,0.032,1868.932617,0.5,0.5,September,0,0,5,5,3.95,3.570068359,22,-3,5.20822858,169.1666667,120.3333333,mixed,46.80022,9.90126,9975
S1850B2_1,S,1850,B,15.6,40,0,0,30,0,5,25,0,21.02,0.022,1869.421265,0.5,0.5,May,0,0,5,5,3.3,4.021240234,31.5,-3.5,6.007458564,176.8333333,119.8333333,mixed,46.80023,9.90126,10104
S1850B2_2,S,1850,B,15.6,40,0,0,30,0,5,25,0,21.02,0.022,1869.421265,0.5,0.5,September,1,1,4,4,3.78,4.021240234,31.5,-3.5,6.007458564,176.8333333,119.8333333,mixed,46.80025,9.90126,7078
S1850B3_1,S,1850,B,0,0,50,50,0,0,0,0,0,32.18,0.018,1869.91272,0.5,0.5,May,0,0,5,5,3.46,NA,NA,NA,NA,NA,NA,mixed,46.80025,9.90118,10687
S1850B3_2,S,1850,B,0,0,50,50,0,0,0,0,0,32.18,0.018,1869.91272,0.5,0.5,September,0,1,5,4,3.94,NA,NA,NA,NA,NA,NA,mixed,46.80021,9.90116,15397
S1850B4_1,S,1850,B,0,0,95,0,5,0,0,0,0,17.96,0.006,1870.963013,0.5,0.5,May,0,0,5,5,3.93,NA,NA,NA,NA,NA,NA,mixed,46.8002,9.90119,11899
S1850B4_2,S,1850,B,0,0,95,0,5,0,0,0,0,17.96,0.006,1870.963013,0.5,0.5,September,1,1,4,4,4.92,NA,NA,NA,NA,NA,NA,mixed,46.80029,9.90116,4156
S1850V1_1,S,1850,V,34.32,85,0,0,15,0,0,0,0,44,0.032,1868.982666,0.5,3,May,0,0,5,5,3.16,3.813232422,34.5,-3.5,5.924715416,168.6666667,123.1666667,mixed,46.8007329,9.902210389,5809
S1850V1_2,S,1850,V,34.32,85,0,0,15,0,0,0,0,44,0.032,1868.982666,0.5,3,September,0,0,4,5,4.08,3.813232422,34.5,-3.5,5.924715416,168.6666667,123.1666667,mixed,46.80075836,9.902241579,9979
S1850V2_1,S,1850,V,41.6,20,0,10,70,0,0,0,0,67.56,0.024,1869.938477,2.5,2.5,May,0,0,5,5,3.43,4.239257813,49,-3,6.650286721,176.1666667,119.1666667,mixed,46.80077,9.90225,13154
S1850V2_2,S,1850,V,41.6,20,0,10,70,0,0,0,0,67.56,0.024,1869.938477,2.5,2.5,September,1,1,4,4,3.88,4.239257813,49,-3,6.650286721,176.1666667,119.1666667,mixed,46.80077703,9.902281738,15766
S1850V3_1,S,1850,V,18.72,0,0,50,50,0,0,0,0,44,0.06,1870.677124,5,5,May,0,0,5,5,3.44,3.930419922,44.5,-2,6.835059868,190,111.8333333,mixed,46.80077588,9.902341878,16745
S1850V3_2,S,1850,V,18.72,0,0,50,50,0,0,0,0,44,0.06,1870.677124,5,5,September,2,2,3,3,3.75,3.930419922,44.5,-2,6.835059868,190,111.8333333,mixed,46.80062766,9.902296075,13910
S1850V4_1,S,1850,V,44.72,10,0,0,90,0,0,0,0,32.94,0.038,1870.201538,5,5,May,0,0,5,5,3.8,NA,NA,NA,NA,NA,NA,mixed,46.80058981,9.902250363,30803
S1850V4_2,S,1850,V,44.72,10,0,0,90,0,0,0,0,32.94,0.038,1870.201538,5,5,September,1,1,4,4,4.21,NA,NA,NA,NA,NA,NA,mixed,46.80064128,9.902244404,5107
S1900B1_1,S,1900,B,0,0,50,50,0,0,0,0,0,21.94,0.062,1937.67688,1,1,May,0,0,5,5,3.26,4.138183594,24,-8.5,5.841452448,144,131.5,mixed,46.8008762,9.903620526,5411
S1900B1_2,S,1900,B,0,0,50,50,0,0,0,0,0,21.94,0.062,1937.67688,1,1,September,0,0,5,5,4.19,4.138183594,24,-8.5,5.841452448,144,131.5,mixed,46.80093966,9.903669809,12529
S1900B2_1,S,1900,B,0,0,50,15,20,0,0,0,15,17.74,0.046,1933.425903,1,1,May,0,0,5,5,3.46,4.615966797,31,-1.5,5.895532819,156,130.3333333,mixed,46.8009391,9.903661654,8353
S1900B2_2,S,1900,B,0,0,50,15,20,0,0,0,15,17.74,0.046,1933.425903,1,1,September,0,0,5,4,4.11,4.615966797,31,-1.5,5.895532819,156,130.3333333,mixed,46.8009279,9.903619739,7954
S1900B3_1,S,1900,B,99.84,0,0,60,30,0,5,0,5,100,0.038,1913.038696,0.5,0.5,May,0,0,5,5,4.97,4.881835938,26,0,5.775261169,155.1666667,128.6666667,mixed,46.80093831,9.903540811,14626
S1900B3_2,S,1900,B,99.84,0,0,60,30,0,5,0,5,100,0.038,1913.038696,0.5,0.5,September,0,0,5,5,4.99,4.881835938,26,0,5.775261169,155.1666667,128.6666667,mixed,46.80098522,9.903562856,6421
S1900B4_1,S,1900,B,99.84,20,0,45,30,0,15,0,0,48.34,0.022,1914.053711,0.5,25,May,0,0,5,5,3.25,NA,NA,NA,NA,NA,NA,mixed,46.80092087,9.903589265,4411
S1900B4_2,S,1900,B,99.84,20,0,45,30,0,15,0,0,48.34,0.022,1914.053711,0.5,25,September,1,2,4,3,4.2,NA,NA,NA,NA,NA,NA,mixed,46.80091861,9.903630123,6569
S1900V1_1,S,1900,V,99.84,0,0,5,95,0,0,0,0,52.84,0.052,1912.046631,7,8,May,0,0,5,5,3.78,3.745361328,29,-2,6.047138391,179.6666667,114,mixed,46.80150093,9.903796541,17572
S1900V1_2,S,1900,V,99.84,0,0,5,95,0,0,0,0,52.84,0.052,1912.046631,7,8,September,0,1,5,4,4.22,3.745361328,29,-2,6.047138391,179.6666667,114,mixed,46.80156215,9.90381946,10844
S1900V2_1,S,1900,V,99.84,0,0,10,90,0,0,0,0,58.72,0.048,1911.877075,3.5,3.5,May,0,0,5,5,3.65,4.540527344,33,-3,6.417361505,180.3333333,126.8333333,mixed,46.80159985,9.903694192,15315
S1900V2_2,S,1900,V,99.84,0,0,10,90,0,0,0,0,58.72,0.048,1911.877075,3.5,3.5,September,0,0,5,5,4.25,4.540527344,33,-3,6.417361505,180.3333333,126.8333333,mixed,46.80159524,9.903707296,14964
S1900V3_1,S,1900,V,11.44,20,0,0,80,0,0,0,0,31.94,0.038,1913.566772,10,8,May,0,0,5,5,3.9,4.607177734,52.5,-2,8.667520032,187.6666667,113.1666667,mixed,46.80147514,9.903859909,4575
S1900V3_2,S,1900,V,11.44,20,0,0,80,0,0,0,0,31.94,0.038,1913.566772,10,8,September,1,3,4,2,4.44,4.607177734,52.5,-2,8.667520032,187.6666667,113.1666667,mixed,46.80150812,9.903821758,4370
S1900V4_1,S,1900,V,99.84,0,0,20,80,0,0,0,0,71.24,0.032,1913.588135,13,12,May,0,0,5,5,4.09,NA,NA,NA,NA,NA,NA,mixed,46.80154481,9.903848552,9690
S1900V4_2,S,1900,V,99.84,0,0,20,80,0,0,0,0,71.24,0.032,1913.588135,13,12,September,0,1,5,4,4.23,NA,NA,NA,NA,NA,NA,mixed,46.80148574,9.903739225,9269
S1950B1_1,S,1950,B,0,0,85,0,10,0,0,0,5,13.78,0.016,1983.511475,0.5,0.5,May,0,0,5,5,3.29,3.973876953,23,-3.5,5.610390267,161,127,mixed,46.80197784,9.904834358,5686
S1950B1_2,S,1950,B,0,0,85,0,10,0,0,0,5,13.78,0.016,1983.511475,0.5,0.5,September,1,1,4,4,4.26,3.973876953,23,-3.5,5.610390267,161,127,mixed,46.80202,9.90466,9299
S1950B2_1,S,1950,B,0,0,85,0,15,0,0,0,0,4.06,0.004,1983.216797,1,1,May,0,0,5,5,4.03,4.371826172,28,-6.5,5.934531455,131.1666667,132.8333333,mixed,46.80199724,9.90478609,17094
S1950B2_2,S,1950,B,0,0,85,0,15,0,0,0,0,4.06,0.004,1983.216797,1,1,September,1,1,3,4,4.2,4.371826172,28,-6.5,5.934531455,131.1666667,132.8333333,mixed,46.80204,9.9048,10730
S1950B3_1,S,1950,B,0,0,95,0,0,0,5,0,0,0.36,0,1986.077271,0.5,0.5,May,0,0,5,5,3.62,5.293457031,28,-7,6.583614704,115.8333333,158.3333333,mixed,46.80202266,9.904764868,4096
S1950B3_2,S,1950,B,0,0,95,0,0,0,5,0,0,0.36,0,1986.077271,0.5,0.5,September,1,1,4,4,4.21,5.293457031,28,-7,6.583614704,115.8333333,158.3333333,mixed,46.80202948,9.904711186,15690
S1950B4_1,S,1950,B,0,0,70,0,0,0,30,0,0,5.82,0.002,1987.665039,0.5,0.5,May,0,0,5,5,3.86,NA,NA,NA,NA,NA,NA,mixed,46.80202,9.90473,9273
S1950B4_2,S,1950,B,0,0,70,0,0,0,30,0,0,5.82,0.002,1987.665039,0.5,0.5,September,0,0,5,5,4.61,NA,NA,NA,NA,NA,NA,mixed,46.80203,9.9048,5253
S1950V1_1,S,1950,V,52,50,0,0,50,0,0,0,0,37.76,0.03,1990.966187,7,12,May,0,0,5,5,3.28,4.110595703,23.5,-2,5.358528263,159.6666667,125,mixed,46.8023459,9.905412046,8870
S1950V1_2,S,1950,V,52,50,0,0,50,0,0,0,0,37.76,0.03,1990.966187,7,12,September,1,1,5,4,4.22,4.110595703,23.5,-2,5.358528263,159.6666667,125,mixed,46.80229849,9.905470689,8657
S1950V2_1,S,1950,V,6.24,80,0,0,0,0,0,20,0,43.04,0.046,1987.357422,1.5,11,May,0,0,5,5,3.27,4.072509766,22.5,-2,5.233015997,165.3333333,126.1666667,mixed,46.80243723,9.905394918,25525
S1950V2_2,S,1950,V,6.24,80,0,0,0,0,0,20,0,43.04,0.046,1987.357422,1.5,11,September,2,2,3,3,3.81,4.072509766,22.5,-2,5.233015997,165.3333333,126.1666667,mixed,46.80244451,9.905519089,3571
S1950V3_1,S,1950,V,3.12,0,50,0,50,0,0,0,0,22.98,0.024,1982.91687,5,5,May,0,0,5,5,3.92,5.145507813,27.5,-1.5,5.753915371,131.8333333,146.5,mixed,46.80232617,9.90542197,7181
S1950V3_2,S,1950,V,3.12,0,50,0,50,0,0,0,0,22.98,0.024,1982.91687,5,5,September,0,0,5,5,3.81,5.145507813,27.5,-1.5,5.753915371,131.8333333,146.5,mixed,46.80231922,9.905479069,10551
S1950V4_1,S,1950,V,16.64,20,0,0,80,0,0,0,0,37.54,0.104,1987.220093,4,4,May,0,0,5,5,3,NA,NA,NA,NA,NA,NA,mixed,46.80231575,9.9055214,21902
S1950V4_2,S,1950,V,16.64,20,0,0,80,0,0,0,0,37.54,0.104,1987.220093,4,4,September,0,1,5,4,3.51,NA,NA,NA,NA,NA,NA,mixed,46.80235682,9.905493397,6139
